id,task,source_branch,source_dev,source_path,dest_path,file_sha,file_size,file_mode,review_status,rule,rule_label,decisive_evidence
S2-0001,email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/docs/agent_system_prompt.md,tasks/finalpool/email-campaign/docs/agent_system_prompt.md,b5571ff0b8b29deac98e697c5eb8e883a532f763,121,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0002,email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/docs/task.md,tasks/finalpool/email-campaign/docs/task.md,bfb291790bbf84957f9ced0f353ddd041e3bc8fb,87,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0003,email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/docs/user_system_prompt.md,tasks/finalpool/email-campaign/docs/user_system_prompt.md,d02fc5512ae724903ba89bd35ef57b57c49bbe72,49,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0004,email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/evaluation/main.py,tasks/finalpool/email-campaign/evaluation/main.py,3ad9498d28802ad26a2c4cd8f7b3505e5f2e97c7,277,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0005,email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/groundtruth_workspace/readme.txt,tasks/finalpool/email-campaign/groundtruth_workspace/readme.txt,b594bff06f50288d1372cf0b869d924290ce8e8d,36,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0006,email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/preprocess/main.py,tasks/finalpool/email-campaign/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0007,email-classification-system,jl_dev,jl,tasks/jl/email-classification-system/docs/agent_system_prompt.md,tasks/finalpool/email-classification-system/docs/agent_system_prompt.md,7358c0e4978c668ea8560853448a9a467ca48530,134,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=134B task.md=113B); no CJK characters detected; structure complete
S2-0008,email-classification-system,jl_dev,jl,tasks/jl/email-classification-system/docs/task.md,tasks/finalpool/email-classification-system/docs/task.md,ef4d26b7131794d13dd51596e0cd445fa291e7b9,113,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=134B task.md=113B); no CJK characters detected; structure complete
S2-0009,email-classification-system,jl_dev,jl,tasks/jl/email-classification-system/evaluation/main.py,tasks/finalpool/email-classification-system/evaluation/main.py,d59a313242de93a2dab55afc2ece5a861adae329,290,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=134B task.md=113B); no CJK characters detected; structure complete
S2-0010,email-classification-system,jl_dev,jl,tasks/jl/email-classification-system/groundtruth_workspace/readme.txt,tasks/finalpool/email-classification-system/groundtruth_workspace/readme.txt,1b84edb6030b5476891a6c0b2948996685c62344,49,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=134B task.md=113B); no CJK characters detected; structure complete
S2-0011,email-classification-system,jl_dev,jl,tasks/jl/email-classification-system/initial_workspace/readme.txt,tasks/finalpool/email-classification-system/initial_workspace/readme.txt,7403c7b29cbc3b9db40503530736e3d49f9cfaea,50,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=134B task.md=113B); no CJK characters detected; structure complete
