task,source_branch,source_dev,source_path,dest_path,file_sha,file_size,file_mode
activity-logger,lueyang-dev,lueyang,tasks/lueyang/activity-logger/docs/agent_system_prompt.md,tasks/finalpool/activity-logger/docs/agent_system_prompt.md,7a82a562e46f10f38686207de278b025e71ad4ef,122,100644
activity-logger,lueyang-dev,lueyang,tasks/lueyang/activity-logger/docs/task.md,tasks/finalpool/activity-logger/docs/task.md,07edc9f1cfe064d09b7be11ca2b4734c08576e9f,89,100644
activity-logger,lueyang-dev,lueyang,tasks/lueyang/activity-logger/docs/user_system_prompt.md,tasks/finalpool/activity-logger/docs/user_system_prompt.md,da1a27fb93161168ecc4eeb7c35643d2b9b36094,50,100644
activity-logger,lueyang-dev,lueyang,tasks/lueyang/activity-logger/evaluation/main.py,tasks/finalpool/activity-logger/evaluation/main.py,0f298beb21821c4db21c127480e884e38c18fae4,278,100644
activity-logger,lueyang-dev,lueyang,tasks/lueyang/activity-logger/initial_workspace/readme.txt,tasks/finalpool/activity-logger/initial_workspace/readme.txt,452e4680c1b6da081ff40b73c7999d3644b92e89,38,100644
alert-system,yuzhen-dev,yuzhen,tasks/yuzhen/alert-system/docs/agent_system_prompt.md,tasks/finalpool/alert-system/docs/agent_system_prompt.md,daf846d28fc258b794e052885d0d782356efceca,119,100644
alert-system,yuzhen-dev,yuzhen,tasks/yuzhen/alert-system/docs/task.md,tasks/finalpool/alert-system/docs/task.md,eac81c97cd8eebd513af6ca025bf49813ed834d4,83,100644
alert-system,yuzhen-dev,yuzhen,tasks/yuzhen/alert-system/docs/user_system_prompt.md,tasks/finalpool/alert-system/docs/user_system_prompt.md,4e3eea68322462c2a8b9d5d65be02fd8cf74f23e,47,100644
alert-system,yuzhen-dev,yuzhen,tasks/yuzhen/alert-system/evaluation/main.py,tasks/finalpool/alert-system/evaluation/main.py,3ec09e6e52ec5c40eb0399701e631efc1066d054,275,100644
alert-system,yuzhen-dev,yuzhen,tasks/yuzhen/alert-system/preprocess/main.py,tasks/finalpool/alert-system/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
analytics-dashboard,lv,lv,tasks/lv/analytics-dashboard/docs/agent_system_prompt.md,tasks/finalpool/analytics-dashboard/docs/agent_system_prompt.md,af735f9c24c4c27d465651ef0f6b5348f368a696,126,100644
analytics-dashboard,lv,lv,tasks/lv/analytics-dashboard/docs/task.md,tasks/finalpool/analytics-dashboard/docs/task.md,3e22a21e8d234cf17bfb22546c340cb50e2220da,97,100644
analytics-dashboard,lv,lv,tasks/lv/analytics-dashboard/docs/user_system_prompt.md,tasks/finalpool/analytics-dashboard/docs/user_system_prompt.md,f0cfee02e36e614c84649cb6bfe8abdb0fdd968f,54,100644
analytics-dashboard,lv,lv,tasks/lv/analytics-dashboard/evaluation/main.py,tasks/finalpool/analytics-dashboard/evaluation/main.py,d3ec5c3f84798d5ed16e21fbc01ae5548c92af16,282,100644
asset-optimizer,yuxuan-dev,yuxuan,tasks/yuxuan/asset-optimizer/docs/agent_system_prompt.md,tasks/finalpool/asset-optimizer/docs/agent_system_prompt.md,f804ede58fb9fd01292c3bb67a794fcab12a94b8,122,100644
asset-optimizer,yuxuan-dev,yuxuan,tasks/yuxuan/asset-optimizer/docs/task.md,tasks/finalpool/asset-optimizer/docs/task.md,3fe083333d57ac523223568a0125fc66e06dc852,89,100644
asset-optimizer,yuxuan-dev,yuxuan,tasks/yuxuan/asset-optimizer/evaluation/main.py,tasks/finalpool/asset-optimizer/evaluation/main.py,ac0fc2e202ca29d0e061b5fc90be45414099d48d,278,100644
asset-optimizer,yuxuan-dev,yuxuan,tasks/yuxuan/asset-optimizer/groundtruth_workspace/readme.txt,tasks/finalpool/asset-optimizer/groundtruth_workspace/readme.txt,003bd9662917f7cf5800dc7e2ea77efbad28798f,37,100644
asset-optimizer,yuxuan-dev,yuxuan,tasks/yuxuan/asset-optimizer/initial_workspace/readme.txt,tasks/finalpool/asset-optimizer/initial_workspace/readme.txt,037e22b77b8fa2fd7f6a2a19cd125dd524fb5072,38,100644
backup-utility,xiaochen_dev,xiaochen,tasks/xiaochen/backup-utility/docs/agent_system_prompt.md,tasks/finalpool/backup-utility/docs/agent_system_prompt.md,860943ea765cc2529954cd0b4970c3ca03cf983d,121,100644
backup-utility,xiaochen_dev,xiaochen,tasks/xiaochen/backup-utility/docs/task.md,tasks/finalpool/backup-utility/docs/task.md,df94e32a20f60177cdd730f49d29fc3edf8e575e,87,100644
backup-utility,xiaochen_dev,xiaochen,tasks/xiaochen/backup-utility/evaluation/main.py,tasks/finalpool/backup-utility/evaluation/main.py,c73ac7574c582d56dd988947e476f9d615d75786,277,100644
backup-utility,xiaochen_dev,xiaochen,tasks/xiaochen/backup-utility/preprocess/main.py,tasks/finalpool/backup-utility/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
blog-engine,gyy,gyy,tasks/gyy/blog-engine/docs/agent_system_prompt.md,tasks/finalpool/blog-engine/docs/agent_system_prompt.md,cadecba4bbd0d0f9fadf1cfc43892bb905efb9fd,118,100644
blog-engine,gyy,gyy,tasks/gyy/blog-engine/docs/task.md,tasks/finalpool/blog-engine/docs/task.md,11b5f36c5772adcea4ff202d862653159c90556d,81,100644
blog-engine,gyy,gyy,tasks/gyy/blog-engine/evaluation/main.py,tasks/finalpool/blog-engine/evaluation/main.py,8ad8ad13c97fe7bc7252bdb099221d613c9c3456,274,100644
